Year,runtime,vote_average,Action,Animation,Aventure,Comédie,Crime,Documentaire,Drame,Familial,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Thriller,Téléfilm,Western
0.9213483146067425,0.5569620253164557,0.8718889780938182,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8988764044943842,0.5654008438818564,0.8333524486753069,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9887640449438209,0.481012658227848,0.753412088542264,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9550561797752835,0.5485232067510548,0.8937951599954124,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.9550561797752835,0.4472573839662447,0.7293267576556945,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8988764044943842,0.4430379746835442,0.740337194632412,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9325842696629216,0.28270042194092826,0.8726918224567038,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9887640449438209,0.4599156118143459,0.83381121688267,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9213483146067425,0.5021097046413502,0.8831287991742173,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.5021097046413502,0.6873494666819591,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8876404494382015,0.5063291139240506,0.6654432847803647,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9101123595505634,0.3080168776371308,0.7225599265970869,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.8876404494382015,0.48945147679324885,0.8458538823259549,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9662921348314626,0.4852320675105485,0.702259433421264,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9662921348314626,0.4599156118143459,0.7618993003784839,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9101123595505634,0.4599156118143459,0.756967542149329,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.9550561797752835,0.4683544303797468,0.9186833352448676,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9438202247191008,0.4472573839662447,0.7530680123867416,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9550561797752835,0.30379746835443033,0.7502007110907215,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9775280898876417,0.4641350210970463,0.8409221240968001,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9550561797752835,0.43459915611814337,0.7721068929923157,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9325842696629216,0.4472573839662447,0.7335703635738043,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.9662921348314626,0.5358649789029535,0.8716595939901365,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8988764044943842,0.33333333333333326,0.6976717513476317,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8764044943820224,0.6497890295358649,0.7899988530794816,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
