title,overview,poster_path,Director,Actors_1,Actors_2,Actors_3,genre_principal,genre_1,genre_2,genre_3,Year,runtime,vote_average,Tous genres
Rushmore,"Les mésaventures de Max Fischer, élève de la Rushmore Academy. Personnage hors normes, génie fougueux et brouillon, Max ne peut fournir qu'un minimum d'efforts à ses études et s'est résigné à devenir l'un des pires cancres de son établissement. En dépit de ses échecs scolaires et des admonestations répétées de son directeur, Rushmore n'en reste pas moins à ses yeux un paradis et un sanctuaire idéal pour exercer en toute liberté son inlassable créativité.",/ulAFHyr7gh0aS9rbV9gox7PvhOv.jpg,Wes Anderson,Jason Schwartzman,Bill Murray,Olivia Williams,Comédie,Comédie,Drame,Aucun genre,1998,89.0,7.397,"['Comédie', 'Drame', 'Aucun genre']"
Skyline,"Après une soirée bien arrosée, un groupe d'amis est réveillé par d'étranges lumières dans le ciel. Ils découvrent avec horreur de gigantesques vaisseaux extraterrestres surplombant les métropoles du monde entier. De puissantes sources lumineuses semblent aspirer les hommes par milliers... La stupeur passée, la fuite et la résistance s'organisent. L'humanité est-elle condamnée à disparaître ?",/zspw6I4mIpTXa1gXjkFMiL0V73x.jpg,"Colin Strause, Greg Strause",Eric Balfour,Donald Faison,Scottie Thompson,Science-Fiction,Science-Fiction,Action,Thriller,2010,93.0,5.0,"['Science-Fiction', 'Action', 'Thriller']"
Indian Palace - Suite royale,"Sonny cherche à agrandir l’hôtel, ce qui l’occupe beaucoup plus que ce qu’il souhaiterait étant donné qu’il va épouser d’ici peu Sunaina, l’amour de sa vie. Il s’intéresse à une nouvelle propriété, car son premier investissement, la résidence pour retraités Best Exotic Marigold Hotel, n’a plus qu’une seule chambre de libre, ce qui pose problème pour accueillir les nouveaux arrivants...",/rkkMcvaofTFHdrNp1J9SL9gsiaj.jpg,John Madden,Judi Dench,Maggie Smith,Bill Nighy,Drame,Drame,Comédie,Aucun genre,2015,122.0,6.429,"['Drame', 'Comédie', 'Aucun genre']"
Kit Kittredge : Journaliste en herbe,"Pendant la Grande Dépression des années 30, Kit, une fillette de 10 ans, vit des temps difficiles avec sa famille. Pour s'évader et oublier ces soucis, Kit passe son temps à imaginer des histoires. Un jour, elle décide avec ses deux meilleurs amis de se prendre pour une détective et d'enquêter sur plusieurs vols qui se sont déroulés dans leur ville de Cincinnati.",/2axHOmqHgSo3Y1ofyxBUFApP4FA.jpg,Patricia Rozema,Abigail Breslin,Stanley Tucci,Joan Cusack,Familial,Familial,Comédie,Drame,2008,100.0,6.5,"['Familial', 'Comédie', 'Drame']"
L'Homme parfait,"Holly, une adolescente, vit comme un calvaire les amours malheureuses et mouvementées de sa mère Jean, qu'elle doit systématiquement consoler après chaque rupture. D'autant que Jean, d'espoirs en désillusions, finit par perdre progressivement confiance en elle. Pour lui redonner du baume au coeur, Holly décide de prendre les choses en main. Elle échafaude divers plans, jusqu'à inventer de toutes pièces un soupirant idéal à sa mère, qui se laisse aussitôt prendre au jeu et se découvre moult points communs avec cet être de fiction. Un jour, Jean décide qu'il est temps de concrétiser cette relation virtuelle : Holly se retrouve prise à son piège...",/c4lYipWi6OZr6HgqGrosh77swlX.jpg,Mark Rosman,Hilary Duff,Heather Locklear,Aria Wallace,Comédie,Comédie,Drame,Familial,2005,92.0,6.1,"['Comédie', 'Drame', 'Familial']"
Mo' Better Blues,"L'histoire d'un musicien de jazz tiraillé entre son art, ses petites amies et son imprésario, à la fin des années soixante.",/vPndhEHJ9S7ghWGaDIWhc083PHW.jpg,Spike Lee,Denzel Washington,Spike Lee,Wesley Snipes,Drame,Drame,Musique,Aucun genre,1990,123.0,6.5,"['Drame', 'Musique', 'Aucun genre']"
Kung Pow,"La légende dit que Bruce Lee a débuté son entraînement à l'âge de six ans. L'élu est réputé avoir commencé à l'entraîner alors qu'il n'était encore qu'un fœtus. Quand le légendaire Master Pain, malveillant maître Kung-fu, massacre sa famille, l'élu entreprend une quête pour venger la mort des siens...",/gVsZ1hsJ9g11oCCav4N8ccp9bRw.jpg,Steve Oedekerk,Steve Oedekerk,Fei Lung,Leo Lee,Comédie,Comédie,Action,Aucun genre,2002,81.0,6.4,"['Comédie', 'Action', 'Aucun genre']"
Tremors,"Perfection, un village perdu dans le désert de Nevada. Val et Earl, deux amis inséparables, rencontrent Rhonda LeBeck, une jeune sismologue, qui effectue un stage dans la région. Rhonda prétend que ses appareils ont enregistré des variations inexplicables. Quelque temps plus tard, Val et Earl retrouvent le corps sans vie de Fred, un éleveur de moutons, au sommet d'un pylône. Les bêtes, quant à elles, ont été sauvagement éventrées. Les événements tragiques se succèdent. Plusieurs habitants sont attaqués par de mystérieuses créatures. Tout semble indiquer que celles-ci préparent une attaque d'envergure. Les survivants se réfugient dans une ville voisine. Là, ils découvrent un morceau de ver de terre géant accroché sous leur voiture...",/co7YZnESTu7YPfuf8VG4jRjI9kj.jpg,Ron Underwood,Kevin Bacon,Fred Ward,Finn Carter,Horreur,Horreur,Action,Science-Fiction,1990,96.0,6.932,"['Horreur', 'Action', 'Science-Fiction']"
Détour mortel,"Un accident paralyse totalement la circulation. Chris ne veut pas manquer son rendez-vous. Il quitte l'autoroute et s'engage dans un chemin de terre pour contourner l'embouteillage. Alors qu'il s'enfonce dans la forêt, il heurte une voiture bloquée au milieu de la route. Ses occupants partaient camper pour le week-end lorsque les pneus ont étrangement éclaté.Le groupe va chercher de l'aide et trouve une cabane. En pénétrant à l'intérieur, le soulagement laisse vite place au cauchemar. Tétanisés par l'horreur de ce qu'ils découvrent, ils n'ont pas le temps de fuir que les occupants arrivent.",/mtH0tdL2O1Qw2gyNnW9sm4FLEbr.jpg,Rob Schmidt,Eliza Dushku,Jeremy Sisto,Emmanuelle Chriqui,Horreur,Horreur,Thriller,Aucun genre,2003,84.0,6.385,"['Horreur', 'Thriller', 'Aucun genre']"
Le Gang des frères James,"Le célèbre gang des Frères James est le plus renommé et le plus redoutable groupe de bandits de tout l'Ouest Américain. Pilleurs de banques et spécialistes des attaques de train et de diligences, leur audace en a fait des légendes vivantes sur tout le territoire. Mais lorsque la puissante agence de détective Pinkerton jure de mettre fin au gang coûte que coûte, ces hors-la-loi vont alors devoir affronter un ennemi qui ne s'arrêtera que lorsqu'ils seront derrières les barreaux… ou morts…",/osi9i91KUNpq1ELN93k1Tl3wcrg.jpg,Walter Hill,David Carradine,Stacy Keach,Dennis Quaid,Western,Western,Action,Crime,1980,100.0,6.643,"['Western', 'Action', 'Crime']"
