title,overview,poster_path,Director,Actors_1,Actors_2,Actors_3,genre_principal,genre_1,genre_2,genre_3,Year,runtime,vote_average,Tous genres
Avatar,"Un marine paraplégique, envoyé sur la lune Pandora pour une mission unique, est tiraillé entre suivre ses ordres et protéger le monde qu'il considère dorénavant comme le sien.",/7N8L80OaG8EBTDdRBjGqT8PBzCM.jpg,James Cameron,Sam Worthington,Zoe Saldaña,Sigourney Weaver,Science-Fiction,Science-Fiction,Action,Aventure,2009,166.0,7.602,"['Science-Fiction', 'Action', 'Aventure']"
Pirates des Caraïbes : Jusqu'au bout du monde,"L’âge d’or de la piraterie touche à sa fin. Même le terrifiant Vaisseau Fantôme et son capitaine maudit servent Lord Cutler Beckett. Il écume désormais les sept mers, massacrant sans pitié les pirates de tous bords. Une seule chance de résister à Beckett et à son armada : Rassembler les Neuf Seigneurs de la Cour des Frères.",/3JjceHUzbtgJ4fJs6x2ow4ckH89.jpg,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Aventure,Aventure,Fantastique,Action,2007,168.0,7.266,"['Aventure', 'Fantastique', 'Action']"
Spectre,"Un message cryptique surgi du passé entraîne James Bond dans une mission très personnelle à Mexico puis à Rome, où il rencontre Lucia Sciarra, la très belle veuve d’un célèbre criminel. Bond réussit à infiltrer une réunion secrète révélant une redoutable organisation baptisée Spectre. Pendant ce temps, à Londres, Max Denbigh, le nouveau directeur du Centre pour la Sécurité Nationale, remet en cause les actions de Bond et l’existence même du MI6, dirigé par M. Bond persuade Moneypenny et Q de l’aider secrètement à localiser Madeleine Swann, la fille de son vieil ennemi, Mr White, qui pourrait détenir le moyen de détruire Spectre. Fille de tueur, Madeleine comprend Bond mieux que personne… En s’approchant du cœur de Spectre, Bond va découvrir qu’il existe peut-être un terrible lien entre lui et le mystérieux ennemi qu’il traque…",/AwCpcShhgRqoVPWhOzs4JiI4dlK.jpg,Sam Mendes,Daniel Craig,Christoph Waltz,Léa Seydoux,Action,Action,Aventure,Thriller,2015,148.0,6.569,"['Action', 'Aventure', 'Thriller']"
The Dark Knight Rises,"Afin que l'image de l'ex-procureur Harvey Dent reste un modèle du genre pour les citoyens de Gotham City, Batman a endossé les crimes de ce dernier et a été chassé de la ville par les autorités.  Huit ans plus tard, alors que Gotham City est de nouveau sûre, le commissaire Gordon tombe sur un complot qui vise à détruire la ville de l'intérieur.  Il fait appel à Batman. Ce dernier devra faire face à la mystérieuse Selina Kyle et à Bane, un adversaire mortel, qui veut mettre en pièce le symbole Batman.",/ApcGBERN0p9I0nDOIwJeEmpnLU5.jpg,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Action,Action,Crime,Drame,2012,164.0,7.793,"['Action', 'Crime', 'Drame']"
John Carter,"L'ancien capitaine John Carter, las de la guerre, se retrouve mystérieusement transporté sur la planète Mars, où il se retrouve impliqué malgré lui dans un terrible conflit entre les habitants de cette planète, y compris Tars Tarkas et la fascinante princesse Dejah Thoris. Dans un monde au bord du gouffre, Carter redécouvre son humanité en prenant conscience que la survie de Barsoom et de ses habitants est entre ses mains.",/iCwo0I8usMsQpoiGAEinYxTTr6c.jpg,Andrew Stanton,Taylor Kitsch,Lynn Collins,Willem Dafoe,Action,Action,Aventure,Science-Fiction,2012,140.0,6.359,"['Action', 'Aventure', 'Science-Fiction']"
Spider-Man 3,"Peter Parker a retrouvé un équilibre de vie et souhaite épouser Mary Jane. Lors d'une nuit au parc, alors que Peter et Mary Jane sont ensemble, une petite météorite tombe près du lieu où ils se trouvent. Celle-ci laisse échapper une matière visqueuse qui s'attache discrètement à la mobylette de Peter. Pendant ce temps, Flint Marko s'échappe de prison. Lors de sa fuite, il tombe dans un accélérateur de particules qui fond son corps avec le sable. Le meilleur ami de Peter, Harry Osborn, veut venger la mort de son père, croyant que Spider-Man est responsable de son décès, il l'attaque.",/hPkfodeYB0ZqBjxaynsEdXl0bbR.jpg,Sam Raimi,Tobey Maguire,Kirsten Dunst,Topher Grace,Action,Action,Aventure,Science-Fiction,2007,139.0,6.455,"['Action', 'Aventure', 'Science-Fiction']"
Raiponce,"Quand le bandit le plus recherché du royaume, Flynn Rider, se cache dans une mystérieuse tour, il est pris en otage par Raiponce, une jolie adolescente avec des cheveux de 20 mètres. La curieuse ravisseuse de Flynn, qui cherche à s’échapper de la tour où elle est enfermée depuis des années, conclut un accord avec le voleur et le duo improbable se lance dans une aventure pleine d’action, en compagnie du cheval Maximus, d'un camélon surprotecteur du nom de Pascal, et d'une bande de voyous.",/xZhAFR0N2r5q7tJNWaBGzHUaeb5.jpg,"Nathan Greno, Byron Howard",Mandy Moore,Zachary Levi,Donna Murphy,Animation,Animation,Familial,Aventure,2010,101.0,7.609,"['Animation', 'Familial', 'Aventure']"
Avengers : L'Ère d'Ultron,"Alors que Tony Stark tente de relancer un programme de maintien de la paix jusque-là suspendu, les choses tournent mal et les super-héros Iron Man, Captain America, Thor, Hulk, Black Widow et Hawkeye vont devoir à nouveau unir leurs forces pour combattre le plus puissant de leurs adversaires : le terrible Ultron, un être technologique terrifiant qui s’est juré d’éradiquer l’espèce humaine. Afin d’empêcher celui-ci d’accomplir ses sombres desseins, des alliances inattendues se scellent, les entraînant dans une incroyable aventure et une haletante course contre le temps…",/A0tw88n1byyR2vodhJMlFPQGQgF.jpg,Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Action,Action,Aventure,Science-Fiction,2015,143.0,7.27,"['Action', 'Aventure', 'Science-Fiction']"
Harry Potter et le Prince de sang-mêlé,"Voldemort a renforcé son emprise sur le monde des sorciers aussi bien que sur celui des Moldus, et Poudlard n’est plus un endroit sûr. Harry est d’ailleurs persuadé que le danger rôde à l’intérieur même de l’école mais Dumbledore est plus soucieux de le préparer pour la bataille finale qu’il sent approcher à grands pas. Ensemble, ils tentent de trouver le talon d’Achille de Voldemort et, à cette fin, Dumbledore fait appel au Professeur Horace Slughorn, qui détient des informations cruciales.",/A4WWOzWUASfUeESXxduQxVmoD7t.jpg,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Aventure,Aventure,Fantastique,Aucun genre,2009,153.0,7.7,"['Aventure', 'Fantastique', 'Aucun genre']"
Batman v Superman : L'Aube de la Justice,"Craignant que Superman n’abuse de sa toute‐puissance, le Chevalier noir décide de l’affronter : le monde a‐t‐il davantage besoin d’un super‐héros aux pouvoirs sans limite ou d’un justicier à la force redoutable mais d’origine humaine ? Pendant ce temps‐là, une terrible menace se profile à l’horizon…",/krEWtXK2K7dg5RyMlx9f5WnI1xd.jpg,Zack Snyder,Ben Affleck,Henry Cavill,Amy Adams,Action,Action,Aventure,Fantastique,2016,153.0,5.993,"['Action', 'Aventure', 'Fantastique']"
Superman Returns,"Alors qu’un ennemi de longue date, Lex Luthor, tente de l’affaiblir en lui dérobant tous ses superpouvoirs, Superman doit faire face à un problème d’un autre genre : Loïs Lane, la femme qu’il aime, est partie mener une nouvelle vie loin de lui. Mais l’a‐t‐elle vraiment oublié ? Le retour de Superman sera donc ponctué de nombreux défis puisqu’il devra se rapprocher de son amour tout en retrouvant sa place au sein d’une société qui semble ne plus avoir besoin de lui. En tentant de protéger le monde qu’il aime de la destruction totale, Superman se retrouve au centre d’une aventure incroyable qui le mènera des fonds de l’océan à des milliers d’années lumière de notre galaxie.",/A8O4WyJHeOE6YAGimSNtibXejfG.jpg,Bryan Singer,Brandon Routh,Kevin Spacey,Kate Bosworth,Science-Fiction,Science-Fiction,Action,Aventure,2006,154.0,5.802,"['Science-Fiction', 'Action', 'Aventure']"
Quantum of Solace,"Même s’il lutte pour ne pas faire de sa dernière mission une affaire personnelle, James Bond est décidé à traquer ceux qui ont forcé Vesper à le trahir. En interrogeant Mr White, 007 et M apprennent que l’organisation à laquelle il appartient est bien plus complexe et dangereuse que tout ce qu’ils avaient imaginé… Bond croise alors la route de la belle et pugnace Camille, qui cherche à se venger elle aussi. Elle le conduit sur la piste de Dominic Greene, un homme d’affaires impitoyable et un des piliers de la mystérieuse organisation. Au cours d’une mission qui l’entraîne en Autriche, en Italie et en Amérique du Sud, Bond découvre que Greene manœuvre pour prendre le contrôle de l’une des ressources naturelles les plus importantes au monde en utilisant la puissance de l’organisation, et en manipulant la CIA et le gouvernement britannique…",/bKOyotUkapx8dZ2WOOnuoIEBr7l.jpg,Marc Forster,Daniel Craig,Olga Kurylenko,Mathieu Amalric,Aventure,Aventure,Action,Thriller,2008,107.0,6.3,"['Aventure', 'Action', 'Thriller']"
Pirates des Caraïbes : Le Secret du coffre maudit,"Le pirate Jack Sparrow est confronté à son passé. Treize ans auparavant, il signait un pacte avec Davey Jones, le maléfique maître des sept mers. En échange de son âme, ce dernier lui promettait le commandement du mythique Black Pearl… Aujourd’hui, Jones vient donc récupérer sa dette.",/bzOlMYEfNmgCDnFHj3zL3RBqwau.jpg,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Aventure,Aventure,Fantastique,Action,2006,150.0,7.375,"['Aventure', 'Fantastique', 'Action']"
"Lone Ranger, naissance d'un héros","Tonto, guerrier indien, raconte l’histoire méconnue qui a transformé John Reid, un ancien défenseur de la loi, en un justicier légendaire. Ces deux héros à part vont devoir apprendre à faire équipe pour affronter le pire de la cupidité et de la corruption.",/48U2UrLcSKoO7OJc6KHjYSYns25.jpg,Gore Verbinski,Johnny Depp,Armie Hammer,William Fichtner,Action,Action,Aventure,Western,2013,149.0,6.123,"['Action', 'Aventure', 'Western']"
Man of Steel,"Un petit garçon découvre qu’il possède des pouvoirs surnaturels et qu’il n’est pas né sur Terre. Plus tard, il s’engage dans un périple afin de comprendre d’où il vient et pourquoi il a été envoyé sur notre planète. Mais il devra devenir un héros s’il veut sauver le monde de la destruction totale et incarner l’espoir pour toute l’humanité.",/3HGq0BI0ukKr53oPiTAgOXQprzc.jpg,Zack Snyder,Henry Cavill,Amy Adams,Michael Shannon,Action,Action,Aventure,Science-Fiction,2013,143.0,6.643,"['Action', 'Aventure', 'Science-Fiction']"
Le Monde de Narnia : Le Prince caspian,"Un an après les incroyables événements du Monde de Narnia – Chapitre 1, les nouveaux rois et reines de Narnia sont de retour dans ce royaume magique. Mais à Narnia, plus de 1 000 années se sont écoulées. L’Âge d’Or du royaume est depuis longtemps révolu, et ce n’est plus maintenant qu’une légende. Les animaux parlants et les créatures mythiques ont disparu, ils ne sont plus évoqués que comme les héros d’un folklore que l’on perpétue chez les Telmarins, une race d’humains dirigée par le maléfique roi Miraz, qui règne sans pitié sur Narnia. Même si l’on se souvient encore du nom d’Aslan dans la forêt, le puissant lion n’est pas revenu depuis un millier d’années. Les quatre enfants ont été rappelés à Narnia par le Prince Caspian, le jeune héritier du trône des Telmarins. Sa vie est en danger : son oncle Miraz cherche à l’éliminer afin que son propre fils nouveau‐né puisse monter sur le trône à sa place.",/yIn1vMGG0MLRtkn5etgNeuRpzy4.jpg,Andrew Adamson,Ben Barnes,Skandar Keynes,Georgie Henley,Aventure,Aventure,Familial,Fantastique,2008,143.0,6.6,"['Aventure', 'Familial', 'Fantastique']"
Avengers,"Lorsque la sécurité et l’équilibre de la planète sont menacés par un ennemi d’un genre nouveau, Nick Fury, le directeur du SHIELD, l’agence internationale du maintien de la paix, réunit une équipe pour empêcher le monde de basculer dans le chaos. Partout sur Terre, le recrutement des nouveaux héros dont le monde a besoin commence…",/ylsAO88v2tF0iXRFojPa0UaAJf1.jpg,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Science-Fiction,Science-Fiction,Action,Aventure,2012,145.0,8.01,"['Science-Fiction', 'Action', 'Aventure']"
Pirates des Caraïbes : La Fontaine de jouvence,"Dans cette histoire pleine d’action, où vérité, trahison, jeunesse éternelle et mort forment un cocktail explosif, le capitaine Jack Sparrow retrouve une femme qu’il a connu autrefois. Leurs liens sont‐ils faits d’amour ou, cette femme n’est‐elle qu’une aventurière sans scrupules qui cherche à l’utiliser pour découvrir la légendaire Fontaine de Jouvence ? Lorsqu’elle l’oblige à embarquer à bord du Queen Anne’s Revenge, le bateau du terrible pirate Barbe‐Noire, Jack ne sait plus ce qu’il doit craindre le plus : Le redoutable maître du bateau ou cette femme surgit de son passé…",/5JjjjGg24IGRXIQtaZkPU59acjV.jpg,Rob Marshall,Johnny Depp,Penélope Cruz,Ian McShane,Aventure,Aventure,Action,Fantastique,2011,140.0,6.566,"['Aventure', 'Action', 'Fantastique']"
Men in Black III,"En 15 ans de carrière chez les Men In Black, l’agent J a vu beaucoup de phénomènes inexplicables… Mais rien, pas même le plus étrange des aliens, ne le laisse aussi perplexe que son partenaire, le sarcastique K. Lorsque la vie de K et le destin de la Terre sont menacés, l’agent J décide de remonter le temps pour remettre les choses en ordre. Il va alors découvrir qu’il existe certains secrets de l’univers que K ne lui a jamais révélés. Il est cette fois obligé de faire équipe avec l’agent K, plus jeune, pour sauver la vie de son partenaire, l’agence, et l’avenir même de l’humanité…",/gCFDozeckKAWsaGWL5f190gZRnq.jpg,Barry Sonnenfeld,Will Smith,Tommy Lee Jones,Josh Brolin,Action,Action,Comédie,Science-Fiction,2012,106.0,6.541,"['Action', 'Comédie', 'Science-Fiction']"
Le Hobbit : La Bataille des cinq armées,"Atteignant enfin la Montagne Solitaire, Thorin et les Nains, aidés par Bilbon le Hobbit, ont réussi à récupérer leur royaume et leur trésor. Ils ont également réveillé le dragon Smaug qui déchaîne désormais sa colère sur les habitants de Lac-ville. À présent, les Nains, les Elfes, les Humains mais aussi les Wrags et les Orques menés par le Nécromancien, convoitent les richesses de la Montagne Solitaire.",/h4wjbuC61iMaCqrO3bmGQ3ibuJE.jpg,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Action,Action,Aventure,Fantastique,2014,144.0,7.332,"['Action', 'Aventure', 'Fantastique']"
The Amazing Spider-Man,"Abandonné par ses parents lorsqu’il était enfant, Peter Parker a été élevé par son oncle Ben et sa tante May. Il est aujourd’hui au lycée, mais il a du mal à s’intégrer. Comme la plupart des adolescents de son âge, Peter essaie de comprendre qui il est et d’accepter son parcours. Amoureux pour la première fois, lui et Gwen Stacy découvrent les sentiments, l’engagement et les secrets. En retrouvant une mystérieuse mallette ayant appartenu à son père, Peter entame une quête pour élucider la disparition de ses parents, ce qui le conduit rapidement à Oscorp et au laboratoire du docteur Curt Connors, l’ancien associé de son père. Spider-Man va bientôt se retrouver face au Lézard, l’alter ego de Connors. En décidant d’utiliser ses pouvoirs, il va choisir son destin…",/gsIkMf1VErbF0xtrgXEZXqLgsBG.jpg,Marc Webb,Andrew Garfield,Emma Stone,Rhys Ifans,Action,Action,Aventure,Science-Fiction,2012,137.0,6.732,"['Action', 'Aventure', 'Science-Fiction']"
Robin des Bois,"À l’aube du treizième siècle, Robin Longstride, humble archer au service de la Couronne d’Angleterre, assiste, en Normandie, à la mort de son monarque, Richard Cœur de Lion, tout juste rentré de la Troisième Croisade et venu défendre son royaume contre les Français. De retour en Angleterre et alors que le prince Jean, frère cadet de Richard et aussi inepte à gouverner qu’obnubilé par son enrichissement personnel, prend possession du trône, Robin se rend à Nottingham où il découvre l’étendue de la corruption qui ronge son pays. Il se heurte au despotique shérif du comté, mais trouve une alliée et une amante en la personne de la belle et impétueuse Lady Marianne, qui avait quelques raisons de douter des motifs et de l’identité de ce croisé venu des bois.",/77ibaylBuzhqfFBKQ2qStQUeLyM.jpg,Ridley Scott,Russell Crowe,Cate Blanchett,Matthew Macfadyen,Action,Action,Aventure,Histoire,2010,140.0,6.396,"['Action', 'Aventure', 'Histoire']"
Le Hobbit : La Désolation de Smaug,"Bilbon Sacquet est entraîné dans une quête épique pour reconquérir le Royaume perdu des Nains d'Erebor et l'arracher aux griffes de l'effroyable dragon Smaug. Accompagné de 13 Nains et du Magicien Gandalf le Gris, Bilbon s'introduit dans la Montagne Solitaire armé du 'précieux' anneau de Gollum et de Dard, sa lame affûtée.",/sqZWKOM4PXtJQH9tMveBtWCdKri.jpg,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Fantastique,Fantastique,Aventure,Action,2013,161.0,7.6,"['Fantastique', 'Aventure', 'Action']"
À la croisée des mondes : La Boussole d'or,"Lyra, 12 ans, est une orpheline rebelle qui vit à Jordan College, un établissement de l'Université d'Oxford, dans un monde parallèle qui ressemble au nôtre mais qui a évolué de façon un peu différente. Elle a pour compagnon Pantalaimon, son dæmon, un être capable de prendre de nombreuses formes animales. Le monde de Lyra est en train de changer. L'organisme gouvernemental global, le Magisterium, resserre son emprise sur le peuple. Ses sombres activités l'ont poussé à faire enlever des enfants par les mystérieux Enfourneurs. Parmi les gitans, qui ont perdu beaucoup des leurs, court une rumeur : les enfants sont emmenés dans une station expérimentale quelque part dans le Nord, et on pratique sur eux d'abominables expériences... Lorsque Roger, le meilleur ami de Lyra, disparaît à son tour, la petite fille jure d'aller le chercher, jusqu'au bout du monde s'il le faut.",/tAcPIX5GQy8XAhG2nqTQHmBLksI.jpg,Chris Weitz,Nicole Kidman,Daniel Craig,Dakota Blue Richards,Aventure,Aventure,Fantastique,Aucun genre,2007,113.0,6.083,"['Aventure', 'Fantastique', 'Aucun genre']"
King Kong,"Carl Denham, un cinéaste en quête de notoriété, prépare un tournage dans les mers du Sud. Il embarque avec toute son équipe à bord du «Venture». Bien que les acteurs soient persuadés de tourner un film d'amour et d'aventures, le réalisateur espère secrètement que le voyage les conduira à Skull Island (l'île du Crâne), une terre inexplorée où, dit-on, les indigènes adorent une créature mystérieuse et terrifiante. Les foules, pense-t-il, se presseront pour découvrir les images qu'il rapportera de son voyage. Ann Darrow, artiste de music-hall au chômage, a été embauchée au dernier moment pour pallier la défection de l'actrice principale.",/bCuu3UWja1Ni6uWZeav4rEIDVYM.jpg,Peter Jackson,Naomi Watts,Jack Black,Adrien Brody,Aventure,Aventure,Drame,Action,2005,188.0,6.888,"['Aventure', 'Drame', 'Action']"
Titanic,"Southampton, 10 avril 1912. Le paquebot le plus grand et le plus moderne du monde, réputé pour son insubmersibilité, le « Titanic », appareille pour son premier voyage. Quatre jours plus tard, il heurte un iceberg. À son bord, un artiste pauvre et une grande bourgeoise tombent amoureux.",/vpsvHLkoeKUjceIMeNSqCp3xEyY.jpg,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Drame,Drame,Romance,Aucun genre,1997,194.0,7.902,"['Drame', 'Romance', 'Aucun genre']"
Captain America : Civil War,"Steve Rogers est désormais à la tête des Avengers, dont la mission est de protéger l’humanité. À la suite d’une de leurs interventions qui a causé d’importants dégâts collatéraux, le gouvernement décide de mettre en place un organisme de commandement et de supervision. Cette nouvelle donne provoque une scission au sein de l’équipe : Steve Rogers reste attaché à sa liberté de s’engager sans ingérence gouvernementale, tandis que d’autres se rangent derrière Tony Stark, qui contre toute attente, décide de se soumettre au gouvernement…",/i2nc9IAP1xRWoa3MgeR7ldsshkV.jpg,"Anthony Russo, Joe Russo",Chris Evans,Robert Downey Jr.,Scarlett Johansson,Aventure,Aventure,Action,Science-Fiction,2016,148.0,7.447,"['Aventure', 'Action', 'Science-Fiction']"
Battleship,"Océan Pacifique. Au large d’Hawaï, l’US Navy déploie toute sa puissance. Mais bientôt, une forme étrange et menaçante émerge à la surface des eaux, suivie par des dizaines d’autres, dotées d’une puissance de destruction inimaginable. Qui sont-ils ? Que faisaient-ils, cachés depuis si longtemps au fond de l’océan ? À bord de l’USS John Paul Jones, le jeune officier Hopper, l’amiral Shane et le sous-officier Raikes vont découvrir que l’océan n’est pas toujours aussi pacifique qu’il y paraît. La bataille pour sauver notre planète débute en mer.",/bCYuM18r8G8pOlHf6yYxnFU9IJ4.jpg,Peter Berg,Alexander Skarsgård,Brooklyn Decker,Liam Neeson,Thriller,Thriller,Action,Aventure,2012,130.0,5.883,"['Thriller', 'Action', 'Aventure']"
Jurassic World,"Après le décès de son fondateur John Hammond, la société de biotechnologie InGen a été rachetée par Simon Masrani, PDG de la Masrani Global Corporation. Deux décennies après les événements tragiques de 1993, un nouveau parc a ouvert ses portes sur Isla Nublar, au large du Costa Rica. C’est plus de vingt mille visiteurs qui débarquent chaque jour à « Jurassic World », le « plus grand parc à thèmes jamais construit dans l’histoire humaine » pour profiter pleinement du cadre idyllique de l’île et de ses attractions. Les scientifiques de la réserve biologique, sous la direction du Dr Henry Wu, étudient le comportement des animaux, des dinosaures vivants recréés à partir de leur ADN fossilisé dans de lʼambre. Mais alors que tout le monde croyait les leçons du passé assimilées, un nouvel incident éclate…",/gUY5B8OaRqPnLUwjNxITUTrPbIN.jpg,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Ty Simpkins,Action,Action,Aventure,Science-Fiction,2015,125.0,6.699,"['Action', 'Aventure', 'Science-Fiction']"
Skyfall,"Lorsque la dernière mission de Bond tourne mal, plusieurs agents infiltrés se retrouvent exposés dans le monde entier. Le MI6 est attaqué, et M est obligée de relocaliser l’Agence. Ces événements ébranlent son autorité, et elle est remise en cause par Mallory, le nouveau président de l’ISC, le comité chargé du renseignement et de la sécurité. Le MI6 est à présent sous le coup d’une double menace, intérieure et extérieure. Il ne reste à M qu’un seul allié de confiance vers qui se tourner: Bond. Plus que jamais, 007 va devoir agir dans l’ombre. Avec l’aide d’Ève, un agent de terrain, il se lance sur la piste du mystérieux Silva, dont il doit identifier coûte que coûte l’objectif secret et mortel.",/nNFECkwmrYoUQ17EnPTcSlRictV.jpg,Sam Mendes,Daniel Craig,Javier Bardem,Naomie Harris,Action,Action,Aventure,Thriller,2012,143.0,7.26,"['Action', 'Aventure', 'Thriller']"
Spider-Man 2,"2 ans après avoir choisi sa vie de super-héros, Peter Parker ne parvient plus à gérer sa double vie. Il perd son boulot, Mary-Jane sait qu'elle ne peut plus compter sur lui, et ses études prennent le même chemin. Il décide de raccrocher le costume de Spiderman. Son ami Harry lui présente un ami de son professeur de science, le bienveillant docteur Otto Octavius sur lequel il doit rédiger un mémoire. Celui-ci travaille sur la fusion qu'il croit pouvoir contrôler. Mais une démonstration de ses recherches tourne mal, et le docteur se voit doter de 4 membres mécaniques supplémentaires greffés sur sa colonne vertébrale et qui prennent le contrôle de son esprit…",/m8X5HdADsW5YdmVNjwTOArMOUoL.jpg,Sam Raimi,Tobey Maguire,Kirsten Dunst,Alfred Molina,Action,Action,Aventure,Science-Fiction,2004,128.0,7.304,"['Action', 'Aventure', 'Science-Fiction']"
Iron Man 3,"Tony Stark, l’industriel flamboyant qui est aussi Iron Man, est confronté cette fois à un ennemi qui va attaquer sur tous les fronts. Lorsque son univers personnel est détruit, Stark se lance dans une quête acharnée pour retrouver les coupables. Plus que jamais, son courage va être mis à l’épreuve, à chaque instant. Dos au mur, il ne peut plus compter que sur ses inventions, son ingéniosité, et son instinct pour protéger ses proches. Alors qu’il se jette dans la bataille, Stark va enfin découvrir la réponse à la question qui le hante secrètement depuis si longtemps : est‐ce l’homme qui fait le costume ou bien le costume qui fait l’homme ?",/sE71EBrRMfW0NKMHlXPO55Km88X.jpg,Shane Black,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Action,Action,Aventure,Science-Fiction,2013,130.0,6.931,"['Action', 'Aventure', 'Science-Fiction']"
Alice au Pays des Merveilles,"Alice, désormais âgée de 19 ans, retourne dans le monde fantastique qu'elle a découvert quand elle était enfant. Elle y retrouve ses amis le Lapin Blanc, Bonnet Blanc et Blanc Bonnet, le Loir, la Chenille, le Chat du Cheshire et, bien entendu, le Chapelier Fou. Alice s'embarque alors dans une aventure extraordinaire où elle accomplira son destin : mettre fin au règne de terreur de la Reine Rouge.",/w2FB25izMMWDoVckloSej0ctDJ2.jpg,Tim Burton,Mia Wasikowska,Johnny Depp,Helena Bonham Carter,Familial,Familial,Fantastique,Aventure,2010,108.0,6.639,"['Familial', 'Fantastique', 'Aventure']"
X-Men : L'Affrontement final,"Dans le chapitre final de la trilogie X-Men, les mutants affrontent un choix historique et leur plus grand combat… Un ""traitement"" leur permet désormais d'échapper à ce qu'ils sont. Pour la première fois, ils ont le choix : conserver ce qui fait leur caractère unique mais leur vaut la défiance et la méfiance de l'humanité, ou bien abandonner leurs pouvoirs et devenir des humains à part entière. Les points de vue opposés des leaders des mutants, Charles Xavier, qui prêche la tolérance, et Magneto, qui croit à la survie des plus adaptés, sont plus que jamais incompatibles et vont déclencher la plus acharnée des batailles.",/c5oKaVtfy5Y02oI2LdCo638rg6U.jpg,Brett Ratner,Patrick Stewart,Hugh Jackman,Halle Berry,Aventure,Aventure,Action,Science-Fiction,2006,105.0,6.418,"['Aventure', 'Action', 'Science-Fiction']"
Monstres Academy,"Même quand il n’était qu’un tout petit monstre, Bob Razowski rêvait déjà de devenir une Terreur. Aujourd’hui, il est enfin en première année à la prestigieuse université Monstres Academy, où sont formées les meilleures Terreurs. Son plan de carrière bien préparé est pourtant menacé par sa rencontre avec James P. Sullivan, dit Sulli, un vrai crack qui a un don naturel pour Terrifier. Aveuglés par leur désir de se prouver l’un à l’autre qu’ils sont imbattables, tous deux finissent par se faire renvoyer de l’université. Pire encore : ils se rendent compte que s’ils veulent que les choses aient une chance de rentrer dans l’ordre, ils vont devoir travailler ensemble, et avec un petit groupe de monstres bizarres et mal assortis…",/dyFoZ2c8J3VLoHxzDTwaTnG1YYE.jpg,Dan Scanlon,Billy Crystal,John Goodman,Steve Buscemi,Animation,Animation,Familial,Aucun genre,2013,104.0,7.0,"['Animation', 'Familial', 'Aucun genre']"
Transformers 2 : La Revanche,"Si Sam a fait ce qu'il a pu pour tirer un trait sur le conflit qui a eu lieu à Mission City et revenir à ses préoccupations quotidiennes, la guerre entre les Autobots et les Decepticons, tout en étant classée secret défense, a entraîné plusieurs changements. Le secteur 7 a ainsi été dissout et son plus fidèle soldat, l'agent Simmons, a été révoqué sans ménagement. Résultat : une nouvelle agence, NEST, a été mise en place...",/fgUlcYSp0iY1fJN9mPx6ZR50mjp.jpg,Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel,Science-Fiction,Science-Fiction,Action,Aventure,2009,151.0,6.2,"['Science-Fiction', 'Action', 'Aventure']"
Transformers : L’Âge de l’extinction,"Alors que l’humanité panse ses plaies, après les événements de Transformers : La Face cachée de la Lune, les Autobots et les Decepticons ont disparu de la surface de la Terre. Mais un groupe formé de financiers et scientifiques puissants et ingénieux étudient les invasions successives des Transformers, afin de repousser les limites de la technologie au‐delà de ce qu’ils peuvent contrôler. Et pendant ce temps, une menace Transformer ancienne et puissante prend la Terre pour cible.",/jX44v2Czbgg87DNnkB0efx0RtFs.jpg,Michael Bay,Mark Wahlberg,Nicola Peltz Beckham,Jack Reynor,Science-Fiction,Science-Fiction,Action,Aventure,2014,165.0,5.958,"['Science-Fiction', 'Action', 'Aventure']"
Le Monde fantastique d’Oz,"Lorsque Oscar Diggs, un petit magicien de cirque sans envergure à la moralité douteuse, est emporté à bord de sa montgolfière depuis le Kansas poussiéreux jusqu’à l’extravagant Pays d’Oz, il y voit la chance de sa vie. Tout semble tellement possible dans cet endroit stupéfiant composé de paysages luxuriants, de peuples étonnants et de créatures singulières ! Même la fortune et la gloire ! Celles-ci semblent d’autant plus simples à acquérir qu’il peut facilement se faire passer pour le grand magicien dont tout le monde espère la venue. Seules trois sorcières, Theodora, Evanora et Glinda semblent réellement douter de ses compétences…  Grâce à ses talents d’illusionniste, à son ingéniosité et à une touche de sorcellerie, Oscar va très vite se retrouver impliqué malgré lui dans les problèmes qu’affrontent Oz et ses habitants. Qui sait désormais si un destin hors du commun ne l’attend pas au bout de la route ?",/l7GiYF4Zab79DQfkbrO65JiWM9L.jpg,Sam Raimi,James Franco,Michelle Williams,Rachel Weisz,Fantastique,Fantastique,Aventure,Familial,2013,127.0,5.933,"['Fantastique', 'Aventure', 'Familial']"
